com_anio;com_enero;com_febrero;com_marzo;com_abril;com_mayo;com_junio;com_julio;com_agosto;com_septiembre;com_octubre;com_noviembre;com_diciembre;com_pro_cod
2017;0;0;0;3;0;0;0;0;0;0;0;0;0ABRB019012
2017;0;0;0;3;0;0;0;0;0;0;0;0;0ABRB020002
2017;0;0;0;6;0;0;0;0;0;0;0;0;0ABRB020004
2017;0;0;0;3;0;0;0;0;0;0;0;0;0ABRB025009
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB025010
2017;0;0;0;3;0;0;0;0;0;0;0;0;0ABRB025011
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB025013
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB025014
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB025015
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB025017
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB025018
2017;0;0;0;6;0;0;0;0;0;0;0;0;0ABRB025019
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB025022
2017;0;0;0;3;0;0;0;0;0;0;0;0;0ABRB025023
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB025024
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB025035
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB025036
2017;0;0;0;4;0;0;0;0;0;0;0;0;0ABRB025037
2017;0;0;0;3;0;0;0;0;0;0;0;0;0ABRB025038
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB025045
2017;0;0;0;5;0;0;0;0;0;0;0;0;0ABRB025046
2017;0;0;0;4;0;0;0;0;0;0;0;0;0ABRB025049
2017;0;0;0;6;0;0;0;0;0;0;0;0;0ABRB025051
2017;0;0;0;3;0;0;0;0;0;0;0;0;0ABRB025056
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB025058
2017;0;0;0;3;0;0;0;0;0;0;0;0;0ABRB025067
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB025068
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB025071
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB025074
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB025075
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB025076
2017;0;0;0;3;0;0;0;0;0;0;0;0;0ABRB025077
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB025080
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB025081
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB025082
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB025084
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB025089
2017;0;0;0;10;0;0;0;0;0;0;0;0;0ABRB025090
2017;0;0;0;11;0;0;0;0;0;0;0;0;0ABRB025091
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB025093
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB025094
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB025096
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB025100
2017;0;0;0;3;0;0;0;0;0;0;0;0;0ABRB025102
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB025103
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB025106
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB025107
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB025109
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB025110
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB025111
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB025115
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB028001
2017;0;0;0;3;0;0;0;0;0;0;0;0;0ABRB028002
2017;0;0;0;3;0;0;0;0;0;0;0;0;0ABRB028003
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB028004
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB037001
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB037005
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB037010
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB037011
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB037012
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB037015
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB037023
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB037025
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB037035
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB037041
2017;0;0;0;3;0;0;0;0;0;0;0;0;0ABRB037043
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB037045
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB037051
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB038011
2017;0;0;0;4;0;0;0;0;0;0;0;0;0ABRB038014
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB038015
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB038035
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB038037
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB038041
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB046001
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB046002
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB046003
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB049001
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB049003
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB049009
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB049012
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB049014
2017;0;0;0;5;0;0;0;0;0;0;0;0;0ABRB049016
2017;0;0;0;4;0;0;0;0;0;0;0;0;0ABRB049018
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB049021
2017;0;0;0;21;0;0;0;0;0;0;0;0;0ABRB049023
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB049024
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB049026
2017;0;0;0;5;0;0;0;0;0;0;0;0;0ABRB049027
2017;0;0;0;4;0;0;0;0;0;0;0;0;0ABRB049028
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB049029
2017;0;0;0;3;0;0;0;0;0;0;0;0;0ABRB049030
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB049031
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB049032
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB058001
2017;0;0;0;4;0;0;0;0;0;0;0;0;0ABRB058010
2017;0;0;0;4;0;0;0;0;0;0;0;0;0ABRB059007
2017;0;0;0;3;0;0;0;0;0;0;0;0;0ABRB061007
2017;0;0;0;14;0;0;0;0;0;0;0;0;0ABRB061012
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB061013
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB061014
2017;0;0;0;6;0;0;0;0;0;0;0;0;0ABRB061015
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB061017
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB061018
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB061019
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB061020
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB061021
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB062010
2017;0;0;0;3;0;0;0;0;0;0;0;0;0ABRB062015
2017;0;0;0;3;0;0;0;0;0;0;0;0;0ABRB062032
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB062033
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB062034
2017;0;0;0;2;0;0;0;0;0;0;0;0;0ABRB068005
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABRB068009
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABZN016012
2017;0;0;0;1;0;0;0;0;0;0;0;0;0ABZN017002
